-----
(I'm so hard)
-----

(I'm so hard) 

"I am so hard, I cannot keep you in my sight

I am so hard, I cannot keep you from my eye

I am so hard, I cannot keep you from my mouth

I am so hard, I cannot keep you from my lips

I am so hard, I cannot keep you from my tongue

I am so hard, I cannot keep you from my mouth

I am so hard, I cannot keep you from my lips

I am so hard, I cannot keep you from my nose

I am so hard, I cannot keep you from my mouth

I am so hard, I cannot keep you from my tongue

I am so hard, I cannot keep you from my tongue

I am so hard, I cannot keep you from my tongue

I am so hard, I cannot keep you from my tongue

I am so hard, I cannot keep you from my mouth

I am so hard, I cannot keep you from my mouth

I am so hard, I cannot keep you from my tongue

I am so hard, I cannot keep you from my tongue

I am so hard, I cannot keep you from my tongue

I am so hard, I cannot keep you from my tongue

I am so hard, I cannot keep you from my tongue

I am so hard, I cannot keep you from my tongue

I am so hard, I cannot keep you from my tongue

I
----

"I am so hard, I cannot keep you in my sight

I am so hard, I cannot keep you from my eye

I am so hard, I cannot keep you from my mouth

I am so hard, I cannot keep you from my lips

I am so hard, I cannot keep you from my tongue

I am so hard, I cannot keep you from my mouth

I am so hard, I cannot keep you from my lips

I am so hard, I cannot keep you from my nose

I am so hard, I cannot keep you from my mouth

I am so hard, I cannot keep you from my tongue

I am so hard, I cannot keep you from my tongue

I am so hard, I cannot keep you from my tongue

I am so hard, I cannot keep you from my tongue

I am so hard, I cannot keep you from my mouth

I am so hard, I cannot keep you from my mouth

I am so hard, I cannot keep you from my tongue

I am so hard, I cannot keep you from my tongue

I am so hard, I cannot keep you from my tongue

I am so hard, I cannot keep you from my tongue

I am so hard, I cannot keep you from my tongue

I am so hard, I cannot keep you from my tongue

I am so hard, I cannot keep you from my tongue

I  am so hard, I cannot keep you from my tongue

I am so hard, I cannot keep you from my tongue

I am so hard, I cannot keep you from my tongue

I am so hard, I cannot keep you from my tongue

I am so hard, I cannot keep you from my tongue

I am so hard, I cannot keep you from my tongue

I am so hard, I cannot keep you from my tongue

I am so hard, I cannot keep you from my tongue

I am so hard, I cannot keep you from my tongue

I am so hard, I cannot keep you from my tongue

I am so hard, I cannot keep you from my tongue

I am so hard, I cannot keep you from my tongue

I am so hard, I cannot keep you from my tongue

I am so hard, I cannot keep you from my tongue

I am so hard, I cannot keep you from my tongue

I am so hard, I cannot keep you from my tongue

I am so hard, I cannot keep you from my tongue

I am so hard, I cannot keep you from my tongue

I am so hard, I cannot keep you from my tongue

I am so hard, I cannot keep you from my tongue

I am so hard, I cannot keep you from my tongue

I am so hard, I cannot keep you from my tongue

I am so hard,

---

-------



